Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
36             7.607021e-01 3.817785e-01 7.218344e-01 7.116679e-01 3.809315e-01 7.205619e-01 4.903425e-02 8.469833e-04 1.272504e-03
37             7.221144e-01 3.208999e-01 7.243466e-01 6.727336e-01 3.187758e-01 7.231604e-01 4.938083e-02 2.124058e-03 1.186276e-03
38             7.060009e-01 2.433751e-01 7.430804e-01 6.559916e-01 2.410609e-01 7.419021e-01 5.000926e-02 2.314227e-03 1.178315e-03
39             6.978028e-01 1.805940e-01 7.633701e-01 6.476154e-01 1.775866e-01 7.617951e-01 5.018737e-02 3.007442e-03 1.574962e-03
40             6.944684e-01 1.190527e-01 7.780474e-01 6.439706e-01 1.162027e-01 7.762310e-01 5.049787e-02 2.850047e-03 1.816461e-03
41             6.921436e-01 7.031038e-02 7.881640e-01 6.412597e-01 6.720446e-02 7.857424e-01 5.088391e-02 3.105928e-03 2.421654e-03
42             6.893083e-01 2.352781e-02 7.923630e-01 6.380533e-01 2.070718e-02 7.896461e-01 5.125494e-02 2.820627e-03 2.716898e-03
43             6.844622e-01 -1.195548e-02 7.895788e-01 6.327367e-01 -1.474376e-02 7.862666e-01 5.172546e-02 2.788281e-03 3.312175e-03
44             6.776402e-01 -4.255319e-02 7.796979e-01 6.254917e-01 -4.511805e-02 7.761485e-01 5.214842e-02 2.564854e-03 3.549395e-03
45             6.686233e-01 -6.471760e-02 7.633373e-01 6.159262e-01 -6.707401e-02 7.592741e-01 5.269707e-02 2.356410e-03 4.063235e-03
46             6.570125e-01 -8.036274e-02 7.385186e-01 6.037950e-01 -8.245545e-02 7.342592e-01 5.321751e-02 2.092706e-03 4.259450e-03
47             6.429569e-01 -8.766621e-02 7.040378e-01 5.890500e-01 -8.954121e-02 6.994443e-01 5.390691e-02 1.875003e-03 4.593516e-03
48             6.259243e-01 -8.862458e-02 6.585983e-01 5.713657e-01 -9.026914e-02 6.539101e-01 5.455864e-02 1.644557e-03 4.688259e-03
49             6.066874e-01 -8.477495e-02 6.056015e-01 5.514365e-01 -8.626241e-02 6.008538e-01 5.525090e-02 1.487461e-03 4.747711e-03
